vin,mileage,trim,RM,JDP,MMR,KBB
1C6RR7HT9DS551940,113665.01,Sport Pickup 4D 6 1/3 ft,24154,0,24700,9200.1
3GTU2VEC4EG145590,113464.89,Crew Cab SLT 4WD 5.3L V8,37586.9,32565,27040,0
1C6RR7KT6KS580169,75525.17,Crew Cab Express 4WD 5.7L V8,36887.5,40332.5,41990,0
1C6RR7KT6KS580169,75525.17,Crew Cab Tradesman 4WD 5.7L V8,36887.5,38187.5,35230,0
1GTU9DEL7LZ120976,3144.19,SLT Pickup 4D 6 1/2 ft,83449.6,52390,49010,16272.1
1GTU9DEL7LZ120976,3144.19,SLT Pickup 4D 5 3/4 ft,83449.6,52390,49010,15995.2
1FT8W3B61JEC84618,25906.77,XL Pickup 4D 8 ft,79528.8,68087.5,0,20527
1FT8W3B61JEC84618,25906.77,XL Pickup 4D 6 3/4 ft,79528.8,36562.5,0,12821.9
1FT8W3B61JEC84618,25906.77,XLT Pickup 4D 6 3/4 ft,79528.8,40300,0,12821.9
1FT8W3B61JEC84618,25906.77,Lariat Pickup 4D 6 3/4 ft,79528.8,55705,0,12821.9
1FT8W3B61JEC84618,25906.77,Lariat Pickup 4D 8 ft,79528.8,55705,0,12821.9
1FT8W3B61JEC84618,25906.77,XLT Pickup 4D 8 ft,79528.8,40300,0,12821.9
1FT8W3B61JEC84618,25906.77,King Ranch Pickup 4D 6 3/4 ft,79528.8,63570,0,12821.9
5TFDY5F15KX779221,42314.48,CREW CAB 5.7L 1794 ED,55978,37082.5,58630,18310.5
5TFHY5F11CX234538,168094.47,Crew Cab Limited 4WD 5.7L V8,35534.2,24960,27690,0
1GT39TE73LF265698,8974.52,Regular Cab SLE 4WD DRW 6.6L V8,91756.6,70785,0,0
1GT39TE73LF265698,8974.52,Regular Cab SLE 4WD SRW 6.6L V8,91756.6,69875,0,0
1GCPYDEK2LZ276348,22073.96,Crew Cab LT 4WD 2.7L I4 Turbo,74772.1,55217.5,50050,0
1FTFW1E63BFA89879,113026.72,Crew Cab Harley-Davidson AWD 6.2L V8,23605.4,27755,26650,0
1FTFW1E63BFA89879,113026.72,Crew Cab Lariat 4WD 6.2L V8,23605.4,22945,14495,0
1FTFW1E63BFA89879,113026.72,Crew Cab Lariat Limited AWD 6.2L V8,23605.4,27527.5,15925,0
1FTFW1E63BFA89879,113026.72,Crew Cab Platinum 4WD 6.2L V8,23605.4,25902.5,0,0
1C6RR7FTXHS826417,116626.48,Tradesman Pickup 4D 6 1/3 ft,33428.2,0,25610,9790.3
1C6RR7FTXHS826417,116626.48,Express Pickup 4D 6 1/3 ft,33428.2,0,31590,9790.3
1GC1KXEG9JF170143,33540.09,Crew Cab High Country 4WD 6.0L V8,73764.6,72052.5,0,0
3C6UR5GJ2HG583950,79287.76,Crew Cab Longhorn 4WD 6.4L V8,59530.9,56842.5,0,0
3C6UR5GJ2HG583950,79287.76,Crew Cab Limited 4WD 6.4L V8,59530.9,58727.5,0,0
1FT8W3B67HED88699,48788.07,Crew Cab Lariat 4WD SRW 6.2L V8,78976.3,67762.5,50570,0
1FT8W3B67HED88699,48788.07,Crew Cab XL 4WD SRW 6.2L V8,78976.3,51350,46930,0
1FT8W3B67HED88699,48788.07,Crew Cab XLT 4WD SRW 6.2L V8,78976.3,55152.5,47840,0
1FT8W3B67HED88699,48788.07,Crew Cab King Ranch 4WD SRW 6.2L V8,78976.3,73937.5,0,0
1FT8W3B67HED88699,48788.07,Crew Cab Platinum 4WD SRW 6.2L V8,78976.3,77545,0,0
1C6SRFJT3KN502475,115321.94,Crew Cab Laramie 4WD 5.7L V8,48529,49367.5,54860,0
1C6SRFJT3KN502475,115321.94,Crew Cab Laramie eTorque 4WD 5.7L V8 Hybrid,48529,50017.5,54860,0
1GCRKSEA0BZ249797,150723.43,Extended Cab LT 4WD 4.8L V8,22478.3,13455,10530,0
1C6RR7TT9ES260265,95255.44,CREW CAB 5.7L BIG HORN,32375.2,27105,22815,0
1C6RR7TT9ES260265,95255.44,CREW CAB 5.7L LONE STAR,32375.2,27105,20540,0
1C6RR7TT9ES260265,95255.44,CREW CAB 5.7L OUTDOORSMAN,32375.2,28047.5,24050,0
1C6RR7TT9ES260265,95255.44,CREW CAB 5.7L SLT,32375.2,27105,20215,0
1C6RR7LT8KS531540,30004.97,CREW CAB 5.7L LONE STAR SILVER,40950,48815,0,0
