year,make,model,trim,vin,mileage,price
2013,RAM,1500,Sport Quad Cab 4WD,1C6RR7HT9DS551940,113665.01,13893
2014,GMC,Sierra 1500,SLT Crew Cab 4WD,3GTU2VEC4EG145590,113464.89,19999
2019,RAM,1500,Classic Tradesman Crew Cab 4WD,1C6RR7KT6KS580169,75525.17,225
2020,GMC,Sierra 1500,SLT Crew Cab 4WD,1GTU9DEL7LZ120976,3144.19,59978
2018,Ford,F-350 Super Duty,Lariat Crew Cab 4WD,1FT8W3B61JEC84618,25906.77,66577
2019,Toyota,Tundra,SR5 CrewMax 5.7L 4WD,5TFDY5F15KX779221,42314.48,44999
2012,Toyota,Tundra,Limited CrewMax 5.7L 4WD,5TFHY5F11CX234538,168094.47,21988
2020,GMC,Sierra 3500HD,N/A,1GT39TE73LF265698,8974.52,54900
2020,Chevrolet,Silverado 1500,LT Crew Cab 4WD,1GCPYDEK2LZ276348,22073.96,45984
2011,Ford,F-150,N/A,1FTFW1E63BFA89879,113026.72,26200
2017,RAM,1500,SXT Quad Cab 4WD,1C6RR7FTXHS826417,116626.48,17889
2018,Chevrolet,Silverado 2500HD,High Country Crew Cab 4WD,1GC1KXEG9JF170143,33540.09,69980
2017,RAM,2500,Longhorn Crew Cab 4WD,3C6UR5GJ2HG583950,79287.76,47990
2017,Ford,F-350 Super Duty,Lariat Crew Cab 4WD,1FT8W3B67HED88699,48788.07,67599
2019,RAM,1500,Laramie Crew Cab 4WD,1C6SRFJT3KN502475,115321.94,35900
2011,Chevrolet,Silverado 1500,LT Extended Cab 4WD,1GCRKSEA0BZ249797,150723.43,7000
2014,RAM,1500,Big Horn Crew Cab LB 4WD,1C6RR7TT9ES260265,95255.44,16999
2019,RAM,1500,Classic SLT Crew Cab 4WD,1C6RR7LT8KS531540,30004.97,34560
2019,RAM,1500,Classic Warlock Crew Cab 4WD,1C6RR7LTXKS688373,40642.01,38900
2020,Chevrolet,Silverado 2500HD,LTZ Crew Cab LB 4WD,1GC4YPE77LF141156,60615.29,67995
2006,Nissan,Titan,LE Crew Cab 4WD,1N6AA07B16N507281,154868.86,8000
2022,GMC,Sierra 3500HD,N/A,1GT59TEY9NF229163,11901.8,79980
2015,Chevrolet,Silverado 1500,High Country Crew Cab 4WD,3GCUKTECXFG205006,110120.57,29999
